sampling_method,num_examples,accuracy_error,merge
anchor,10,0.23186757644680311,wizard_meta_slerp
random,10,0.09107910032853161,wizard_meta_slerp
irt,10,0.24323982815264078,wizard_meta_slerp
anchor,10,0.15756886530199643,wizard_meta_slerp
random,10,0.008920899671468363,wizard_meta_slerp
irt,10,0.0855446044983571,wizard_meta_slerp
anchor,10,0.09337882234015671,wizard_meta_slerp
random,10,0.2910791003285317,wizard_meta_slerp
irt,10,0.12269396007076061,wizard_meta_slerp
anchor,10,0.0021480919888804406,wizard_meta_slerp
random,10,0.09107910032853161,wizard_meta_slerp
irt,10,0.23793277735658303,wizard_meta_slerp
anchor,10,0.08655547131665409,wizard_meta_slerp
random,15,0.14225423300480167,wizard_meta_slerp
irt,15,0.14468031336871356,wizard_meta_slerp
anchor,15,0.005433409148344781,wizard_meta_slerp
random,15,0.324412433661865,wizard_meta_slerp
irt,15,0.2409653778114731,wizard_meta_slerp
anchor,15,0.059009350518069215,wizard_meta_slerp
random,15,0.1910791003285317,wizard_meta_slerp
irt,15,0.18410411928228432,wizard_meta_slerp
anchor,15,0.11890320950214806,wizard_meta_slerp
random,15,0.05774576699519829,wizard_meta_slerp
irt,15,0.2136719737174626,wizard_meta_slerp
anchor,15,0.1962345211018448,wizard_meta_slerp
random,15,0.25774576699519836,wizard_meta_slerp
irt,15,0.20002527167045725,wizard_meta_slerp
anchor,15,0.16515036643922165,wizard_meta_slerp
random,15,0.05774576699519829,wizard_meta_slerp
irt,15,0.17424816780389174,wizard_meta_slerp
anchor,15,0.1871367197371745,wizard_meta_slerp
random,15,0.05774576699519829,wizard_meta_slerp
irt,15,0.21518827394490758,wizard_meta_slerp
anchor,15,0.02944149608289104,wizard_meta_slerp
random,15,0.07558756633813501,wizard_meta_slerp
irt,15,0.11207985847864532,wizard_meta_slerp
anchor,15,0.23944907758402822,wizard_meta_slerp
random,15,0.12441243366186494,wizard_meta_slerp
irt,15,0.17500631791761423,wizard_meta_slerp
anchor,15,0.15529441496082885,wizard_meta_slerp
random,15,0.05774576699519829,wizard_meta_slerp
irt,15,0.2591609805408135,wizard_meta_slerp
anchor,15,0.1969926712155674,wizard_meta_slerp
random,20,0.15892089967146833,wizard_meta_slerp
irt,20,0.0029062421026029295,wizard_meta_slerp
anchor,20,0.07720495324740961,wizard_meta_slerp
random,20,0.2910791003285317,wizard_meta_slerp
irt,20,0.08099570381602206,wizard_meta_slerp
anchor,20,0.17576446803133683,wizard_meta_slerp
random,20,0.1910791003285317,wizard_meta_slerp
irt,20,0.1499873641647712,wizard_meta_slerp
anchor,20,0.012004043467273129,wizard_meta_slerp
random,20,0.008920899671468363,wizard_meta_slerp
irt,20,0.18941117007834207,wizard_meta_slerp
anchor,20,0.015036643922163195,wizard_meta_slerp
random,20,0.1910791003285317,wizard_meta_slerp
irt,20,0.19016932019206456,wizard_meta_slerp
anchor,20,0.032474096537781105,wizard_meta_slerp
