sampling_method,num_examples,accuracy_error,language
anchor,10,0.2704700530705079,romanian
random,10,0.03953752843062919,romanian
irt,10,0.04833206974981047,romanian
anchor,10,0.4395375284306292,romanian
random,10,0.2395375284306292,romanian
irt,10,0.008908263836239605,romanian
anchor,10,0.24317664897649727,romanian
random,10,0.2395375284306292,romanian
irt,10,0.1491660348749052,romanian
anchor,10,0.21512509476876418,romanian
random,10,0.13953752843062922,romanian
irt,10,0.05705079605761937,romanian
anchor,10,0.21664139499620919,romanian
random,10,0.13953752843062922,romanian
irt,10,0.09003032600454897,romanian
anchor,10,0.2249810462471569,romanian
random,10,0.13953752843062922,romanian
irt,10,0.19162244124336617,romanian
anchor,10,0.2795678544351781,romanian
random,10,0.06046247156937079,romanian
irt,10,0.14727065959059893,romanian
anchor,10,0.318991660348749,romanian
random,10,0.2395375284306292,romanian
irt,10,0.0452994692949204,romanian
anchor,10,0.27426080363912053,romanian
random,15,0.37287086176396256,romanian
irt,15,0.023313115996967504,romanian
anchor,15,0.3948066717210007,romanian
random,15,0.03953752843062919,romanian
irt,15,0.17342683851402574,romanian
anchor,15,0.3159590598938589,romanian
random,15,0.1062041950972959,romanian
irt,15,0.16849886277482928,romanian
anchor,15,0.09230477634571638,romanian
random,15,0.3062041950972959,romanian
irt,15,0.11808188021228205,romanian
anchor,15,0.21967399545109925,romanian
random,15,0.2395375284306292,romanian
irt,15,0.023692191053828637,romanian
anchor,15,0.12414708112206208,romanian
random,15,0.2395375284306292,romanian
irt,15,0.19844579226686884,romanian
anchor,15,0.21512509476876418,romanian
random,15,0.17287086176396255,romanian
irt,15,0.01307808946171346,romanian
anchor,15,0.05818802122820316,romanian
random,15,0.2395375284306292,romanian
irt,15,0.10860500379075055,romanian
anchor,15,0.08093252463987866,romanian
random,15,0.03953752843062919,romanian
irt,15,0.08282789992418504,romanian
anchor,15,0.09988627748294154,romanian
random,15,0.3062041950972959,romanian
irt,15,0.02482941622441237,romanian
anchor,15,0.13476118271417736,romanian
random,20,0.3895375284306292,romanian
irt,20,0.12528430629264597,romanian
anchor,20,0.21664139499620919,romanian
random,20,0.03953752843062919,romanian
irt,20,0.04264594389689158,romanian
anchor,20,0.2045109931766489,romanian
random,20,0.13953752843062922,romanian
irt,20,0.04150871872630779,romanian
anchor,20,0.1226307808946171,romanian
random,20,0.33953752843062923,romanian
irt,20,0.04302501895375277,romanian
anchor,20,0.14234268385140247,romanian
random,20,0.2395375284306292,romanian
irt,20,0.06576952236542832,romanian
anchor,20,0.1984457922668688,romanian
random,20,0.1895375284306292,romanian
irt,20,0.06652767247915081,romanian
anchor,20,0.022934040940106204,romanian
random,20,0.13953752843062922,romanian
irt,20,0.05477634571645196,romanian
anchor,20,0.03316906747536008,romanian
random,20,0.2395375284306292,romanian
irt,20,0.008529188779378305,romanian
anchor,20,0.056292645943896935,romanian
random,20,0.03953752843062919,romanian
irt,20,0.1313495072024261,romanian
anchor,20,0.13551933282789985,romanian
random,20,0.2895375284306292,romanian
irt,20,0.07335102350265349,romanian
anchor,20,0.15523123578468534,romanian
random,30,0.37287086176396256,romanian
irt,30,0.09230477634571638,romanian
anchor,30,0.25454890068233504,romanian
random,30,0.13953752843062922,romanian
irt,30,0.03847611827141778,romanian
anchor,30,0.16053828658074293,romanian
random,30,0.20620419509729587,romanian
irt,30,0.06993934799090229,romanian
anchor,30,0.20981804397270654,romanian
random,30,0.2395375284306292,romanian
irt,30,0.016110689916603527,romanian
anchor,30,0.23104624715693703,romanian
random,30,0.3062041950972959,romanian
irt,30,0.1317285822592873,romanian
anchor,30,0.1491660348749052,romanian
random,30,0.13953752843062922,romanian
irt,30,0.11732373009855945,romanian
anchor,30,0.029378316906747415,romanian
random,30,0.07287086176396257,romanian
irt,30,0.0498483699772555,romanian
anchor,30,0.03241091736163759,romanian
random,30,0.17287086176396255,romanian
irt,30,0.059325246398786946,romanian
anchor,30,0.17039423805913567,romanian
random,30,0.0062041950972958615,romanian
irt,30,0.14689158453373763,romanian
anchor,30,0.12945413191811972,romanian
random,30,0.20620419509729587,romanian
irt,30,0.0399924184988627,romanian
anchor,30,0.1817664897649734,romanian
random,50,0.15953752843062918,romanian
irt,50,0.10216072782410912,romanian
anchor,50,0.08244882486732363,romanian
random,50,0.13953752843062922,romanian
irt,50,0.10140257771038663,romanian
anchor,50,0.17949203942380587,romanian
random,50,0.19953752843062922,romanian
irt,50,0.08093252463987866,romanian
anchor,50,0.15598938589840777,romanian
random,50,0.2795375284306292,romanian
