lang,n_samples,accuracy,estimate_method,iter,diff
german,15,0.312203036141181,pirt,8,0.07142092140241263
italian,10,0.4814654984423247,pirt,0,0.015203178502976755
german,15,0.30562916713489385,pirt,9,0.07799479040869978
romanian,30,0.3970679369866553,pirt,7,0.013443979443061693
german,20,0.3056763127488127,pirt,0,0.07794764479478095
romanian,30,0.3893926780635672,pirt,6,0.005768720519973569
german,20,0.3191762497592539,pirt,1,0.06444770778433973
romanian,10,0.11164465345225302,pirt,7,0.27197930409134063
german,20,0.2285434015829727,pirt,2,0.15508055596062092
romanian,30,0.2934453156636613,pirt,5,0.09017864187993235
german,20,0.3581669709920017,pirt,4,0.025456986551591954
german,30,0.37077150826187016,pirt,8,0.012852449281723466
german,30,0.4605755681392063,pirt,9,0.07695161059561267
romanian,20,0.16457532531494312,pirt,5,0.2190486322286505
german,100,0.40205985467498734,pirt,5,0.018435897131393708
romanian,15,0.337659086830986,pirt,5,0.04596487071260763
german,100,0.3526417672229985,pirt,6,0.030982190320595127
german,100,0.4460121441583859,pirt,7,0.062388186614792285
romanian,15,0.5831809570939355,pirt,4,0.19955699955034184
german,100,0.4398105335996305,pirt,8,0.056186576056036885
german,100,0.3970370371045386,pirt,9,0.013413079560944952
romanian,15,0.40363679408446906,pirt,3,0.020012836540875434
romanian,10,0.17575972772293497,pirt,0,0.20786422982065866
romanian,15,0.21325617943510267,pirt,2,0.17036777810849096
