lang,n_samples,accuracy,estimate_method,iter,diff
romanian,100,0.3069072965928689,mp-IRT,2,0.0767166609507246
dutch,20,0.4116163785821465,mp-IRT,2,0.0363320722895005
dutch,30,0.2652452685000538,mp-IRT,1,0.1100390377925921
romanian,100,0.3161903529417125,mp-IRT,0,0.067433604601881
romanian,15,0.4206024476899703,mp-IRT,6,0.0369784901463766
spanish,30,0.4011595765532938,mp-IRT,4,0.1447085053269184
dutch,10,0.1970018549474624,mp-IRT,6,0.1782824513451835
romanian,20,0.5482331225510865,mp-IRT,9,0.1646091650074928
dutch,15,0.2162987937358843,mp-IRT,2,0.1589855125567616
dutch,50,0.5108900522737148,mp-IRT,4,0.1356057459810688
romanian,20,0.2828289481069857,mp-IRT,8,0.1007950094366079
romanian,20,0.1675444872536637,mp-IRT,7,0.2160794702899298
dutch,15,0.4808329544814581,mp-IRT,1,0.1055486481888121
dutch,50,0.5484871419983435,mp-IRT,5,0.1732028357056975
romanian,20,0.3919154131945492,mp-IRT,6,0.0082914556509555
spanish,10,0.4330069153467274,mp-IRT,6,0.1128611665334848
german,50,0.4042977305595306,mp-IRT,3,0.020673773015937
german,50,0.2669129783542569,mp-IRT,9,0.1167109791893367
german,10,0.2785025491852066,mp-IRT,9,0.105121408358387
spanish,30,0.5530523391117533,mp-IRT,3,0.007184257231541
german,15,0.2715841604834159,mp-IRT,1,0.1120397970601777
dutch,20,0.4632847688713815,mp-IRT,5,0.0880004625787355
romanian,30,0.3157650473413171,mp-IRT,0,0.0678589102022764
romanian,15,0.3452069002119764,mp-IRT,5,0.0384170573316172
romanian,20,0.1752143590480749,mp-IRT,5,0.2084095984955186
romanian,30,0.3816976339006048,mp-IRT,1,0.0019263236429887
dutch,100,0.418367644037909,mp-IRT,2,0.0430833377452631
romanian,15,0.5732574750348601,mp-IRT,4,0.1896335174912665
romanian,15,0.411841757810431,mp-IRT,3,0.0282178002668373
dutch,50,0.452035330457783,mp-IRT,7,0.0767510241651371
dutch,50,0.3337902520546406,mp-IRT,6,0.0414940542380053
dutch,15,0.4630614368659552,mp-IRT,5,0.0877771305733092
dutch,15,0.4380549750497937,mp-IRT,3,0.0627706687571478
dutch,50,0.3693021713468999,mp-IRT,0,0.0059821349457459
romanian,30,0.2932813335450428,mp-IRT,5,0.0903426239985508
romanian,30,0.3877959190370146,mp-IRT,4,0.004171961493421
dutch,15,0.355876180269949,mp-IRT,4,0.0194081260226968
dutch,50,0.3820974690731447,mp-IRT,1,0.0068131627804987
romanian,30,0.3594693772564614,mp-IRT,3,0.0241545802871322
romanian,30,0.1359877406572867,mp-IRT,2,0.2476362168863069
dutch,50,0.4656245135009188,mp-IRT,2,0.0903402072082729
dutch,50,0.3321438050875545,mp-IRT,3,0.0431405012050914
romanian,100,0.3275532666542815,mp-IRT,9,0.0560706908893121
german,100,0.3284395771843648,mp-IRT,1,0.0551843803592287
romanian,100,0.3369238649585689,mp-IRT,5,0.0467000925850247
spanish,10,0.4113393781441582,mp-IRT,0,0.134528703736054
spanish,10,0.2917306202927858,mp-IRT,1,0.2541374615874265
dutch,10,0.1261952981452695,mp-IRT,0,0.2490890081473764
romanian,10,0.1227334792062649,mp-IRT,1,0.2608904783373287
german,100,0.4398105707757885,mp-IRT,8,0.0561866132321949
romanian,10,0.2103303217080125,mp-IRT,2,0.173293635835581
dutch,100,0.3611573893813876,mp-IRT,9,0.0141269169112583
german,100,0.4460121668627676,mp-IRT,7,0.0623882093191739
dutch,10,0.4297874237656188,mp-IRT,1,0.0545031174729728
spanish,10,0.0567773025660298,mp-IRT,2,0.4890907793141824
german,100,0.3526417684973973,mp-IRT,6,0.0309821890461963
dutch,10,0.3803638919496668,mp-IRT,3,0.0050795856570209
dutch,100,0.3273121648111738,mp-IRT,8,0.0479721414814721
romanian,10,0.2633093026314851,mp-IRT,4,0.1203146549121085
italian,100,0.4203668953492206,mp-IRT,8,0.0458954245901273
italian,100,0.3925055565147943,mp-IRT,9,0.0737567634245536
romanian,10,0.1210748924226204,mp-IRT,5,0.2625490651209732
german,100,0.3970370295965769,mp-IRT,9,0.0134130720529832
romanian,10,0.4411321883267237,mp-IRT,3,0.0575082307831301
italian,10,0.5597455015336541,mp-IRT,7,0.0934831815943061
german,100,0.3700177895327808,mp-IRT,2,0.0136061680108127
dutch,100,0.4330458758568384,mp-IRT,5,0.0577615695641925
romanian,15,0.0938817164058419,mp-IRT,0,0.2897422411377516
spanish,10,0.307003876017725,mp-IRT,5,0.2388642058624872
romanian,10,0.0433364062295708,mp-IRT,9,0.3402875513140228
german,100,0.4250063775530184,mp-IRT,3,0.0413824200094248
dutch,10,0.2510954466423405,mp-IRT,4,0.1241888596503053
german,100,0.4251798625882921,mp-IRT,0,0.0415559050446985
romanian,15,0.5072884714745673,mp-IRT,1,0.1236645139309737
dutch,100,0.4961348400116789,mp-IRT,4,0.120850533719033
romanian,15,0.2072183537331105,mp-IRT,2,0.1764056038104831
italian,100,0.5251936614702822,mp-IRT,6,0.0589313415309342
dutch,10,0.181341606969345,mp-IRT,2,0.1939426993233008
romanian,10,0.0126619808326092,mp-IRT,8,0.3709619767109843
romanian,10,0.1960580947758973,mp-IRT,0,0.1875658627676963
dutch,20,0.4597458486674871,mp-IRT,6,0.0844615423748411
spanish,10,0.4978442441829574,mp-IRT,3,0.0480238376972548
german,100,0.4020598885151651,mp-IRT,5,0.0184359309715714
romanian,50,0.4455171449234406,mp-IRT,3,0.061893187379847
dutch,15,0.726711090304736,mp-IRT,8,0.3514267840120901
dutch,30,0.5132841538536425,mp-IRT,6,0.1379998475609965
romanian,50,0.4045015613384836,mp-IRT,2,0.02087760379489
romanian,50,0.4899758141847472,mp-IRT,1,0.1063518566411536
dutch,15,0.3932195300971078,mp-IRT,7,0.0179352238044618
dutch,30,0.3485748869531874,mp-IRT,7,0.0267094193394584
romanian,50,0.4358245890546598,mp-IRT,0,0.0522006315110662
romanian,30,0.3411521510588548,mp-IRT,9,0.0424718064847388
dutch,30,0.4309309744686609,mp-IRT,8,0.055646668176015
romanian,30,0.4351757354102163,mp-IRT,8,0.0515517778666226
dutch,15,0.4631123862349733,mp-IRT,6,0.0878280799423273
romanian,50,0.3449550549594427,mp-IRT,8,0.0386689025841509
romanian,50,0.3580442553983187,mp-IRT,9,0.0255797021452749
dutch,30,0.5652142376322372,mp-IRT,2,0.1899299313395913
romanian,50,0.3693489926878074,mp-IRT,4,0.0142749648557862
dutch,100,0.3748582006956306,mp-IRT,7,0.0004261055970152
dutch,30,0.34513485562483,mp-IRT,5,0.0301494506678159
romanian,50,0.405252240425366,mp-IRT,5,0.0216282828817723
romanian,10,0.1782081493412836,mp-IRT,6,0.2054158082023099
german,100,0.3743834903818739,mp-IRT,4,0.0092404671617196
romanian,10,0.1467906737382985,mp-IRT,7,0.236833283805295
italian,100,0.3731813158913771,mp-IRT,7,0.0930810040479708
spanish,10,0.4139042549224386,mp-IRT,4,0.1319638269577737
